field_type,Categorical,Location,Numeric,Numeric,Numeric,Numeric,Numeric
description,Area of sampling,Point in the SAFE landscape,Top canopy height,Top canopy height standard deviation,Gap fraction,Aboveground biomass,LiDAR ground coverage
levels,SAFE; Maliau,,,,,,
units,,,metres,metres,metres,grams2,ratio
method,,,LiDAR,LiDAR,LiDAR,LiDAR,LiDAR
field_name,Location,ID,tch,tch_sd,gf,agb,coverage
112,SAFE,B_84,20.08258564,8.013616155,0.066746693,75.84615905,1
113,SAFE,B_85,16.5460574,6.024781169,0.135700888,55.06444513,1
114,SAFE,B_86,13.28015078,7.470395294,0.353581074,38.28421731,0.99979994
115,SAFE,B_87,14.60377214,6.292433904,0.247416489,44.79480615,0.999624672
116,SAFE,B_88,11.91292971,8.348535228,0.463534239,31.99056672,0.999674748
117,SAFE,B_89,10.11882841,6.938442986,0.542351675,24.42533438,0.99912419
118,SAFE,B_90,10.17583198,6.510088456,0.521785893,24.65320787,0.999949975
119,SAFE,B_91,22.04107058,11.666821,0.095087956,88.45819517,0.999924931
120,SAFE,B_92,22.94979307,12.98078947,0.11963973,94.56762793,0.999924944
121,SAFE,B_93,21.76982043,10.14583784,0.125003126,86.66590594,1
122,SAFE,B_94,16.21100479,9.302583378,0.214630607,53.23345609,0.999574692
123,SAFE,B_95,11.83949942,8.641409716,0.412064826,31.66526461,0.99927471
124,SAFE,B_96,14.58806647,6.41783706,0.246672671,44.71519932,0.999949965
125,SAFE,B_596,15.49326993,5.802921775,0.176686932,49.39403886,0.999924942
126,SAFE,B_597,13.90812829,7.605647474,0.34151406,41.32274736,0.999949965
127,SAFE,B_598,18.43818213,7.256712577,0.112287022,65.85719208,0.999974981
128,SAFE,B_599,14.93544013,6.112856635,0.172816651,46.48895057,0.999899932
129,SAFE,B_600,14.99376662,6.70439595,0.221555089,46.78944373,0.999849895
130,SAFE,B_601,12.32252576,7.059658149,0.307521017,33.8291044,0.9994996
131,SAFE,B_602,17.62628919,8.555299866,0.213499725,61.13280475,0.999699895
132,SAFE,B_603,13.2073656,5.823048472,0.309919732,37.93798692,0.999899977
133,SAFE,B_604,15.13877979,7.917495553,0.262191308,47.5398497,0.999699752
134,SAFE,B_605,18.22693537,7.774969391,0.12287415,64.61459832,1
135,SAFE,B_606,15.85507995,9.157259351,0.205097421,51.31529877,0.999824917
136,SAFE,B_607,19.53704219,7.740786755,0.068778303,72.4706015,0.999974981
137,SAFE,B_608,15.1138376,6.615076873,0.222155509,47.41044452,1
138,SAFE,B_609,9.970917262,6.778458604,0.54840001,23.83796169,0.999699767
139,SAFE,B_610,21.81940049,11.49250211,0.130079063,86.99242394,0.99992494
140,SAFE,B_611,15.62611744,9.356090794,0.241887463,50.09611105,0.999624709
141,SAFE,B_781,14.77889715,6.720703297,0.245323597,45.68624083,0.999824947
142,SAFE,B_782,17.13672116,7.819619314,0.120253165,58.35154944,0.999899935
143,SAFE,B_783,17.09394355,6.464396623,0.099254776,58.11096316,1
144,SAFE,B_784,15.59752098,8.177208201,0.25785959,49.94465401,0.999849936
145,SAFE,B_785,17.09750556,8.603452039,0.214055271,58.13098134,0.999649869
146,SAFE,B_786,14.21116603,5.759215632,0.217728615,42.82164592,0.999899895
147,SAFE,B_787,11.61090494,7.297899987,0.460054545,30.66100363,0.99922436
148,SAFE,B_788,20.61870941,12.96119278,0.140197673,79.22230089,1
149,SAFE,B_860,14.02936123,8.254904857,0.338109527,41.91986256,0.999924981
150,SAFE,B_861,14.18824626,5.762217689,0.20015512,42.70754242,0.999674748
151,SAFE,B_862,14.99342121,8.961542958,0.285303171,46.78766196,0.999499512
152,SAFE,B_863,17.90923769,6.544555546,0.133782026,62.76349302,0.99992494
153,SAFE,C_97,4.543436861,7.45478015,0.8123749,6.50133004,0.993094476
154,SAFE,C_98,3.745041298,5.128973009,0.821158753,4.723521463,0.994421374
155,SAFE,C_99,4.667427052,7.436010819,0.814563738,6.797219629,0.991619972
156,SAFE,C_100,5.757162128,7.342790137,0.774934974,9.615559122,0.988945578
157,SAFE,C_101,8.152894958,8.203556389,0.633236604,17.09050075,0.991269325
158,SAFE,C_102,6.413283891,7.851102645,0.726069552,11.49359621,0.989617213
159,SAFE,C_103,5.034483957,6.371790168,0.806870496,7.70333993,0.993419736
160,SAFE,C_104,8.777489505,6.527285596,0.582072002,19.30851119,0.996122189
161,SAFE,C_105,7.233017202,6.403435532,0.666091307,14.02197702,0.995447154
162,SAFE,C_106,12.11981962,7.199361976,0.408897563,32.91415293,0.997472852
163,SAFE,C_107,8.600864398,6.106345691,0.629034679,18.67047524,0.997272682
164,SAFE,C_108,10.77336579,6.964949514,0.491919344,27.09182505,0.997047934
165,SAFE,C_109,13.56718258,6.342976249,0.243610264,39.66167195,0.99959986
166,SAFE,C_110,10.63291758,7.985996722,0.43903964,26.51048325,0.997524072
167,SAFE,C_111,16.28933499,6.363839926,0.121194687,53.65932123,0.999974986
168,SAFE,C_112,15.54499202,7.092575857,0.184042633,49.66691424,0.999799845
169,SAFE,C_113,16.45684997,9.634842415,0.240604514,54.57455807,0.999924936
170,SAFE,C_114,17.49320232,6.353356768,0.100905272,60.37167346,1
171,SAFE,C_115,18.52223012,7.215098798,0.120508458,66.35417553,0.999874887
172,SAFE,C_116,19.40028757,6.768670492,0.058502652,71.63396964,1
